PyPSA-Eur technology,ppm_fueltype,ppm_technology,ppm_set,parameter,source,reference,unit,comment
solar,,,,FOM,REMIND,spv,,
solar,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
solar,,,,investment,REMIND,spv,,
solar,,,,lifetime,REMIND,spv,,
solar,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
solar-utility,,,,CO2 intensity,fixed,0,tCO2/MWh_th,Process without direct emissions
solar-utility,,,,efficiency,REMIND,spv,,
solar-utility,,,,FOM,REMIND,spv,,
solar-utility,,,,fuel,fixed,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
solar-utility,,,,investment,REMIND,spv,,
solar-utility,,,,lifetime,REMIND,spv,,
solar-utility,,,,VOM,fixed,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
